Role,Company,Location,Image,Salary,Experience
Data Analyst and Storyteller,PT Cybertrend Intrabuana,"Cilandak, Jakarta Selatan, DKI Jakarta, Indonesia",https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/83639718eb95835a827e0f567e985dba.jpg,Perusahaan tidak menampilkan gaji,1 – 3 tahun
Bob Junior Program - Data Analyst Intern,PT Bobobox Mitra Indonesia,"Cicendo, Bandung, Jawa Barat, Indonesia",https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/7973546193a09e8ea30b36e17021e0ec.jpg,Perusahaan tidak menampilkan gaji,"Plered, Kab. Cirebon, Jawa Barat, Indonesia"
Data Analysis Social Media / E-commerce,Mcn Asia,"Tambora, Jakarta Barat, DKI Jakarta, Indonesia",https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/d9b166133d50fbab565295ec34ca3b2d.jpg,IDR3.000.000 - 6.000.000,IDR3.000.000
Data Engineer,Celerates,"Cilandak, Jakarta Selatan, DKI Jakarta, Indonesia",https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/33b5de616ec3d3fe36dcaa2f011840bf.jpg,IDR7.000.000 - 9.500.000,1 – 3 tahun
Data Engineer,Geekgarden,"Kapanewon Mlati, Kab. Sleman, DI Yogyakarta, Indonesia",https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/18839296049e2b546b93cf8e4f5a9bf6.jpg,Perusahaan tidak menampilkan gaji,"Semarang Timur, Semarang, Jawa Tengah, Indonesia"
Data Science,Eduwork.id,"Cempaka Putih, Jakarta Pusat, DKI Jakarta, Indonesia",https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/a3a0b0a3454e5dab90d591e9361dd6e0.jpg,Perusahaan tidak menampilkan gaji,Perusahaan tidak menampilkan gaji
Data Engineer,Hukumonline.com,"Jagakarsa, Jakarta Selatan, DKI Jakarta, Indonesia",https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/afef143cbd505d9b72ce86a391fcdc5a.jpg,IDR10.000.000 - 15.000.000,1 – 3 tahun
Inventory Analyst,PT Global Service Indonesia,"Cakung, Jakarta Timur, DKI Jakarta, Indonesia",https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/022715d34f788b707a55537083bc74ce.png,IDR3.000.000 - 5.000.000,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia"
Data Entry,Atvezzo,"Kalideres, Jakarta Barat, DKI Jakarta, Indonesia",https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/1b9520c3c9d37450a808267178c0bcf6.jpeg,Perusahaan tidak menampilkan gaji,Perusahaan tidak menampilkan gaji
Data Scientist,Hukumonline.com,"Jagakarsa, Jakarta Selatan, DKI Jakarta, Indonesia",https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/afef143cbd505d9b72ce86a391fcdc5a.jpg,Perusahaan tidak menampilkan gaji,1 – 3 tahun
